Date,Close,SMA_20,Upper_Band,Lower_Band,Signal
2024-10-07 04:00:00,31866.6796875,32119.81875,33027.66134605197,31211.976153948028,mantén
2024-10-08 04:00:00,32276.228515625,32145.1634765625,33040.017030213356,31250.30992291164,mantén
2024-10-09 04:00:00,32666.2734375,32186.21025390625,33098.30294801681,31274.117559795694,mantén
2024-10-10 04:00:00,32763.783203125,32225.48232421875,33167.05127786053,31283.913370576964,mantén
2024-10-11 04:00:00,33348.8515625,32311.1083984375,33334.965299768206,31287.251497106794,vende
2024-10-15 04:00:00,33446.36328125,32382.6091796875,33513.888525601906,31251.3298337731,mantén
2024-10-16 04:00:00,33348.8515625,32467.28525390625,33622.62118160604,31311.949326206464,mantén
2024-10-17 04:00:00,33426.859375,32561.56201171875,33706.42897863386,31416.69504480364,mantén
2024-10-18 04:00:00,34596.99609375,32688.69443359375,34124.21335409078,31253.175513096725,vende
2024-10-21 04:00:00,34616.49609375,32824.40224609375,34447.79231208533,31201.012180102163,vende
2024-10-22 04:00:00,33855.91015625,32904.980078125,34566.67382430279,31243.286331947216,mantén
2024-10-23 04:00:00,32763.783203125,32910.05068359375,34569.244350873705,31250.857016313792,mantén
2024-10-24 04:00:00,33465.86328125,32928.57783203125,34604.67134311795,31252.484320944553,mantén
2024-10-25 04:00:00,33075.8203125,32928.57783203125,34604.67134311795,31252.484320944553,mantén
2024-10-28 04:00:00,33212.3359375,32951.98056640625,34630.308343049874,31273.65278976263,mantén
2024-10-29 04:00:00,33309.84765625,32999.7611328125,34660.75865344673,31338.76361217827,mantén
2024-10-30 04:00:00,34889.53125,33135.30185546875,34949.54533539457,31321.058375542932,mantén
2024-10-31 04:00:00,34538.48828125,33258.166015625,35104.381334288715,31411.95069696128,mantén
2024-11-01 04:00:00,34245.95703125,33374.2044921875,35158.346808330556,31590.06217604444,mantén
2024-11-05 05:00:00,34714.0078125,33521.44638671875,35232.42404047284,31810.468732964662,mantén
2024-11-06 05:00:00,35006.54296875,33678.43955078125,35325.10658216622,32031.772519396283,mantén
2024-11-07 05:00:00,34538.48828125,33791.5525390625,35340.561088017676,32242.543990107315,mantén
2024-11-08 05:00:00,34245.95703125,33870.53671875,35336.84184430133,32404.231593198674,mantén
2024-11-12 05:00:00,34031.4296875,33933.91904296875,35305.30925181473,32562.528834122768,mantén
2024-11-13 05:00:00,33875.4140625,33960.24716796875,35304.28924289606,32616.205093041444,mantén
2024-11-14 05:00:00,34577.4921875,34016.80361328125,35364.985652844945,32668.62157371755,mantén
2024-11-15 05:00:00,34479.98046875,34073.36005859375,35398.26129290532,32748.458824282185,mantén
2024-11-18 05:00:00,35104.0546875,34157.21982421875,35521.55460807474,32792.885040362766,mantén
2024-11-19 05:00:00,35299.078125,34192.32392578125,35638.0061296652,32746.641721897307,mantén
2024-11-20 05:00:00,35767.12890625,34249.85556640625,35849.946144069174,32649.764988743333,mantén
2024-11-21 05:00:00,35318.578125,34322.98896484375,35979.96032127569,32666.01760841181,mantén
2024-11-22 05:00:00,35201.56640625,34444.878125,35972.5194598048,32917.23679019521,mantén
2024-11-25 05:00:00,35884.14453125,34565.7921875,36148.968989858025,32982.61538514198,mantén
2024-11-26 05:00:00,35104.0546875,34667.20390625,36101.348091716536,33233.05972078346,mantén
2024-11-27 05:00:00,35396.58984375,34776.4166015625,36069.838836552444,33482.99436657256,mantén
2024-11-28 05:00:00,35494.09765625,34885.6291015625,36016.270683945826,33754.98751917918,mantén
2024-11-29 05:00:00,35084.55078125,34895.380078125,36029.52174932064,33761.23840692937,mantén
2024-12-02 05:00:00,35572.109375,34947.0611328125,36106.642679608056,33787.47958601695,mantén
2024-12-03 05:00:00,35279.57421875,34998.7419921875,36118.19573529088,33879.288249084115,mantén
2024-12-04 05:00:00,35045.546875,35015.3189453125,36126.81016558026,33903.82772504474,mantén
2024-12-05 05:00:00,35591.609375,35044.572265625,36185.49792740164,33903.64660384836,mantén
2024-12-06 05:00:00,35182.0625,35076.7509765625,36193.62652102457,33959.87543210043,mantén
2024-12-09 05:00:00,35006.54296875,35114.7802734375,36162.18189047391,34067.37865640109,mantén
2024-12-10 05:00:00,35084.55078125,35167.436328125,36083.124200509425,34251.74845574057,mantén
2024-12-11 05:00:00,35084.55078125,35227.8931640625,35915.71937023751,34540.066957887495,mantén
2024-12-12 05:00:00,35084.55078125,35253.24609375,35874.26705526628,34632.22513223372,mantén
2024-12-13 05:00:00,34909.03125,35274.6986328125,35806.47981411866,34742.917451506335,mantén
2024-12-16 05:00:00,34675.00390625,35253.24609375,35845.221999751426,34661.270187748574,mantén
2024-12-17 05:00:00,34245.95703125,35200.5900390625,35943.506904362344,34457.67317376266,compra
2024-12-18 05:00:00,33933.91796875,35108.9294921875,35995.92379053208,34221.93519384292,compra
2024-12-19 05:00:00,34323.96484375,35059.198828125,36006.20062062588,34112.19703562412,mantén
2024-12-20 05:00:00,34323.96484375,35015.31875,36014.43943030401,34016.19806969599,mantén
2024-12-23 05:00:00,34636.0,34952.9115234375,35876.609055726556,34029.21399114844,mantén
2024-12-24 05:00:00,35300.0,34962.7087890625,35897.24923894771,34028.16833917728,mantén
2024-12-25 05:00:00,35300.0,34957.879296875,35883.938736902426,34031.81985684757,mantén
2024-12-26 05:00:00,35420.0,34954.1744140625,35871.75530714311,34036.59352098189,mantén
2024-12-27 05:00:00,35020.0,34950.946875,35867.04977353803,34034.843976461976,mantén
2024-12-30 05:00:00,35180.0,34931.34140625,35807.3787123457,34055.3041001543,mantén
2024-12-31 05:00:00,35180.0,34926.3626953125,35795.16898118092,34057.55640944408,mantén
